name,tier,careers_url,category,website
OpenAI,dream,https://jobs.ashbyhq.com/openai,ai,https://openai.com
Stripe,dream,https://boards.greenhouse.io/stripe,tech,https://stripe.com
Postman,high_priority,https://jobs.lever.co/postman,tech,https://postman.com
Vercel,high_priority,https://jobs.ashbyhq.com/vercel,tech,https://vercel.com
Supabase,high_priority,https://boards.greenhouse.io/supabase,tech,https://supabase.com
Figma,dream,https://jobs.lever.co/figma,tech,https://figma.com
Sarvam AI,high_priority,https://sarvam.ai/careers,ai,https://sarvam.ai
Razorpay,high_priority,https://razorpay.com/jobs/,tech,https://razorpay.com
Databricks,dream,https://boards.greenhouse.io/databricks,ai,https://databricks.com
Workday Global,good,https://workday.wd5.myworkdayjobs.com/Workday,tech,https://workday.com
